System,rank,doc_id,title,Relevance,Query_ID,,,,
Baseline,1,17142627,Elite da Tropa,0,1,,,,
Baseline,2,17612031,Secrets,1,1,,,,
Baseline,3,5300664,Family Secrets,1,1,,,,q
Baseline,4,12186317,River Secrets,0,1,,,,
Baseline,5,21385964,Alien Secrets,1,1,,,,
Baseline,6,31580920,Keeping Secrets,0,1,,,,
Baseline,7,7017877,Sixth Grade Secrets,1,1,,,,
Baseline,8,10857994,Forest of Secrets,0,1,,,,
Baseline,9,24571522,Summer of Secrets,2,1,,,,
Baseline,10,1493110,Secrets in the Fire,0,1,,,,
No clicks,1,17142627,Elite da Tropa,0,1,,,,
No clicks,2,17612031,Secrets,1,1,,,,
No clicks,3,21385964,Alien Secrets,1,1,,,,
No clicks,4,24571522,Summer of Secrets,2,1,,,,
No clicks,5,5357347,Secrets of the Morning,2,1,,,,
No clicks,6,5300664,Family Secrets,1,1,,,,
No clicks,7,7017877,Sixth Grade Secrets,1,1,,,,
No clicks,8,31580920,Keeping Secrets,0,1,,,,
No clicks,9,12186317,River Secrets,0,1,,,,
No clicks,10,13825431,The Book of Secrets,2,1,,,,
After clicks,1,17612031,Secrets,1,1,,,,
After clicks,2,5357347,Secrets of the Morning,2,1,,,,
After clicks,3,5300664,Family Secrets,1,1,,,,
After clicks,4,24571522,Summer of Secrets,2,1,,,,
After clicks,5,13825431,The Book of Secrets,2,1,,,,
After clicks,6,21385964,Alien Secrets,1,1,,,,
After clicks,7,7017877,Sixth Grade Secrets,1,1,,,,
After clicks,8,31580920,Keeping Secrets,0,1,,,,
After clicks,9,1493110,Secrets in the Fire,0,1,,,,
After clicks,10,8404404,The Secrets of Jin-Shei,1,1,,,,
Baseline,1,18909926,Mussolini: His Part in My Downfall,1,0,,,,
Baseline,2,13823852,Adolf Hitler: My Part in His Downfall,1,0,,,,
Baseline,3,22321861,Faserland,3,0,,,,
Baseline,4,5622375,Wild Energy,0,0,,,,
Baseline,5,26829005,The Big Honey Hunt,0,0,,,,
Baseline,6,22218319,Pride and Prejudice and Zombies,1,0,,,,
Baseline,7,5874649,And Eternity,0,0,,,,
Baseline,8,3785815,Adam and Eve and Pinch Me,1,0,,,,
Baseline,9,23867656,Sense and Sensibility and Sea Monsters,3,0,,,,
Baseline,10,49759,Down and Out in Paris and London,2,0,,,,
No clicks,1,18909926,Mussolini: His Part in My Downfall,1,0,,,,
No clicks,2,13823852,Adolf Hitler: My Part in His Downfall,1,0,,,,
No clicks,3,22321861,Faserland,3,0,,,,
No clicks,4,5874649,And Eternity,0,0,,,,
No clicks,5,23867656,Sense and Sensibility and Sea Monsters,3,0,,,,
No clicks,6,26829005,The Big Honey Hunt,0,0,,,,
No clicks,7,5622375,Wild Energy,0,0,,,,
No clicks,8,22218319,Pride and Prejudice and Zombies,1,0,,,,
No clicks,9,64002,Wizard and Glass,1,0,,,,
No clicks,10,3785815,Adam and Eve and Pinch Me,1,0,,,,
After clicks,1,18909926,Mussolini: His Part in My Downfall,1,0,,,,
After clicks,2,13823852,Adolf Hitler: My Part in His Downfall,1,0,,,,
After clicks,3,22321861,Faserland,3,0,,,,
After clicks,4,22218319,Pride and Prejudice and Zombies,1,0,,,,
After clicks,5,3785815,Adam and Eve and Pinch Me,1,0,,,,
After clicks,6,145627,Sense and Sensibility and Sea Monsters,3,0,,,,
After clicks,7,24162,Pride and Prejudice,1,0,,,,
After clicks,8,5622375,Wild Energy,0,0,,,,
After clicks,9,23867656,Master and Commander,0,0,,,,
After clicks,10,26829005,The Big Honey Hunt,0,0,,,,
